,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
V231,0.012728012855907522,0.0018867619,209.0,125.0,167.0,True
V245,0.14042738604673832,0.00035988222,4.0,330.0,167.0,True
V153,0.1168754431548199,0.00048098085,25.0,311.0,168.0,True
V314,0.008930270573910715,0.0021787693,239.0,98.0,168.5,True
V111,0.08594698226540509,0.0008856681,94.0,243.0,168.5,True
V148,0.12693782583521396,0.00040601863,16.0,322.0,169.0,True
V44,0.08629730643175493,0.00086505845,93.0,245.0,169.0,True
V217,0.012793367526171773,0.0018431052,208.0,130.0,169.0,True
D5,0.009709526358178566,0.002097341,235.0,104.0,169.5,True
V118,0.09349992791867157,0.00075868575,71.0,268.0,169.5,True
card4,0.06392214596323553,0.001191372,139.0,203.0,171.0,False
id_31,0.05566577499469316,0.0012200978,144.0,199.0,171.5,False
FE_uid_freq,0.012659003465882224,0.0017841067,210.0,134.0,172.0,False
addr1,0.012930920561039283,0.0017395723,207.0,139.0,173.0,False
V114,0.12468958693113041,0.00038569365,19.0,327.0,173.0,True
addr2,0.1425839305131945,0.00021018003,1.0,346.0,173.5,True
V255,0.1351399791867638,0.0002845408,9.0,338.0,173.5,True
V281,0.002017040310423379,0.00727897,329.0,20.0,174.5,True
V247,0.14086019256157856,0.00019408342,3.0,347.0,175.0,True
D13_isnan,0.08767732745102808,0.0007804029,89.0,261.0,175.0,True
D11,0.011621337452452307,0.0017836499,216.0,135.0,175.5,False
V198,0.1392321763219886,0.00022443444,6.0,345.0,175.5,True
D9,0.018059101732460725,0.0013976683,180.0,173.0,176.5,False
D15,0.005808629461878212,0.0025049364,269.0,85.0,177.0,True
V190,0.11775123576272017,0.00032107002,23.0,333.0,178.0,True
V176,0.12728397851787787,0.0002616289,15.0,342.0,178.5,True
V194,0.08917410974565465,0.00073612964,86.0,272.0,179.0,True
M7,0.05145280122475637,0.0011186422,145.0,214.0,179.5,False
V320,0.003929164320989775,0.0032287478,301.0,58.0,179.5,True
FE_is_peak_fraud_hour,0.0019744303924829065,0.0051903543,331.0,30.0,180.5,True
V268,0.00479296389532835,0.0028129402,290.0,71.0,180.5,True
V298,0.0010395567923477955,0.012965138,349.0,13.0,181.0,True
id_12,0.10338967987735714,0.0004809365,51.0,312.0,181.5,True
V318,0.007499535485456121,0.0020142954,252.0,114.0,183.0,False
